상호명,소재지,1등 당첨 회차,1등 횟수,2등 당첨 회차,2등 횟수,LATITUDE,LONGITUDE
명당복권,서울 동대문구 왕산로 112-1 가판,443 541 726 810,4,583 660 705 722 746 777 867 876 913 966 1021 1044,12,37.577916,127.035775
종합가판점,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽,334 512 541 589 646 705 870 1019 1071 1133,10,331 372 385 395 465 561 569 577 596 598 609 611 642 652 668 698 706 706 706 720 722 741 743 757 758 779 788 792 794 796 805 808 809 816 822 831 845 850 853 855 860 870 872 872 887 892 896 897 914 915 919 922 927 937 939 945 959 972 991 995 997 1021 1027 1049 1050 1085 1085 1100 1102 1131 1132 1135 1143 1148 1149,75,37.579697,127.044971
상호없음,서울 중구 세종대로 90-1 시청역 7번출구 한화생명 앞,919,1,304 464 1036,3,37.564239,126.977598
가판100호,서울 중구 을지로 115-1,887 1065,2,511 579 703 913 1068 1104 1139,7,37.566442,126.990742
남대문회현역가판15호,"서울 중구 퇴계로 45 15호 &#40;남창동, 종합가판점&#41;",,0,,0,37.558242,126.977542
신가로판매점,서울 중구 세종대로 93,,0,946 1050 1084 1086 1101,5,37.564679,126.976556
가로판매대제152호&&#35;40;신&&#35;41;,서울 중구 남대문로 114,892,1,393 475 531 757 1136,5,37.567277,126.982994
가로가판대제57호&&#35;40;구&&#35;41;,서울 중구 세종대로14길 6-2,307 413 1013 1107,4,456 506 586 613 616 718 891 918 987 1113 1114,11,37.562906,126.977049
종합가로가판점,서울 중구 마른내로 166,677 791,2,379 437 695 757,4,37.564298,127.006333
중구가판12호,서울 중구 한강대로 416,,0,1141,1,37.555512,126.973835
가로판매대제18호,서울 중구 소공로 51,329,1,306 359 433 593 608 776,6,37.559226,126.98148
대박복권방,서울 성북구 한천로78길 23,,0,400 861 937 1032 1081,5,37.611828,127.063714
대만상사,서울 성북구 보국문로11길 30,858 1021,2,369 547 694 737 799 929 931 933 939 968 1057,11,37.608797,127.008354
윈윈,서울 송파구 오금로13길 22 3층,,0,521,1,37.513702,127.110107
성지로또,서울 송파구 마천로7길 6 대림아파트상가115호,,0,390 616 641 693 898 1112 1116,7,37.49927,127.102005
드림공인중개사사무소,서울 양천구 목동중앙북로16길 3 광진상가1층104,1081,1,586 868 868 878 962 1087,6,37.546005,126.873899
신나라복권나라,서울 동대문구 왕산로 265 1층,690,1,591 883 1030,3,37.584593,127.050234
로또가맹점,서울 동대문구 서울시립대로4길 16 1층,,0,678 812 1032,3,37.576135,127.025794
로또복권방,서울 성북구 동소문로2길 83,599,1,609,1,37.589467,127.010319
클로버 복권판매점,서울 송파구 백제고분로50길 19 102호,801 1125,2,517 534 852,3,37.513834,127.117067
태성철물,서울 송파구 올림픽로32길 39 방이동 먹자골목 내,,0,311 867 905 905 905 953 1051 1071 1142,9,37.513073,127.110704
대박복권방,서울 양천구 오목로 233 1층1호,429 542 937,3,534 564 772 791 793 804 816 824 849 929,10,37.526132,126.863302
삼성대박복권방,서울 강남구 봉은사로74길 13 101호,458,1,384 466 704 760 822 1026 1045,7,37.511669,127.051878
포이로또방,서울 강남구 개포로22길 19 1층,1008,1,519 670 861 1134,4,37.477766,127.048522
로또플러스,서울 강북구 도봉로50길 11 1층,609,1,339 429 863 1012 1026 1029 1055,7,37.62561,127.027316
로또복권판매,서울 강북구 솔샘로67길 71,278 988,2,433 646 765 990 1018 1084,6,37.620273,127.027442
공항로또,서울 강서구 공항대로 37 7호,670 783,2,416 612 807 884 936 939 955 1086 1132,9,37.561552,126.811477
하나로종합유통,서울 강서구 공항대로 222 1층 109호,,0,309 644 789 944,4,37.558525,126.832299
행운의복권방,서울 관악구 양녕로 37-1,898,1,815 821 905 956 1009 1061,6,37.485389,126.946671
로또편의점,서울 구로구 구로중앙로24길 22-2 지1층,736,1,380 654 661 1083,4,37.497204,126.888683
중구-가로가판대-37,서울 중구 남대문로 20-2,455 478 701 935 959,5,333 371 395 634 653 666 676 755 770 779 788 790 922 1012 1016 1029 1076 1144,18,37.560831,126.978048
가로판매대제13호,서울 중구 퇴계로 36,564,1,438 459 708 801 855 923 1087 1146,8,37.557289,126.977015
가판14호,서울 중구 퇴계로 37,522 740 852 1016 1016 1067 1123,7,390 409 625 629 641 656 740 822 884 944 1061 1072 1085,13,37.557815,126.976709
신문가판대,서울 중구 세종대로 5-1,,0,266 339 392 568 596 598 896,7,37.557747,126.97262
신간판,서울 중구 무교로 24,331 332 844 1019,4,325 332 745 977 1080 1114,6,37.568091,126.979454
가로대가판점,서울 은평구 통일로 741 롯데리아앞가판,,0,302 450 457 474 496 616 622 1024 1125,9,37.611383,126.928492
황금대박점,서울 노원구 공릉로 328,1021 1044 1127,3,323 351 469 540 559 559 590 632 680 763 822 910 923 928 982 1028 1072 1083 1121,19,37.635977,127.070989
가판점,서울 노원구 동일로 1231-2,,0,268 328 393 515 788 955 956 968 1051,9,37.639686,127.065749
신문판매대,서울 노원구 화랑로 455-2 버스 정류장 옆,,0,567 785,2,37.618925,127.077222
가판대,서울 도봉구 마들로 859-19 도봉산역 1번출구앞 가판대,557 592 855,3,584 670 673 696 728 741 839 921 952 996 1031 1046 1066 1080 1090,15,37.685727,127.048033
운수대통가판점,서울 성동구 왕십리로 327,711 754 847,3,644 923 989 998 1063 1072 1111,7,37.562363,127.033182
KB행당동지점옆가판,서울 성동구 고산자로 198,598,1,593 795 799 826 904 1050,6,37.557803,127.034259
가로판매1-4-28,서울 성동구 고산자로 348 SK 주유소 앞 가판,,0,270 436 726 784,4,37.569678,127.0378
만복당,서울 성동구 행당로 1 신한은행 앞,399,1,328 919,2,37.554837,127.020291
토마토,서울 성동구 마조로7길 15-1,,0,499 787 1000 1049 1049 1049 1049 1049 1049 1139,10,37.560724,127.039438
우리은행금호동지점앞가판,서울 성동구 장터길 46,466 874 928 1078,4,324 509 764 1034 1063 1084 1086 1089 1128 1135 1139,11,37.548143,127.020975
로또킹,서울 영등포구 영중로 2 1층&#40;영등포동3가&#41;,,0,,0,37.516742,126.906749
가판점&&#35;40;신문&&#35;41;,서울 영등포구 양평로 50-2,389 493 506 540 567 718 802 875,8,271 296 331 337 539 543 572 580 598 613 618 619 660 665 692 726 733 734 747 750 762 784 786 788 831 873 903 924 943 946 957 990 997 1006 1049 1067 1068 1078 1091 1101 1106 1116 1120 1127 1128 1139,46,37.534478,126.901007
당산로또명당점,서울 영등포구 양평로 52,934,1,267 671 747 827 865 878 968 1030 1100 1137,10,37.534662,126.900872
교통카드판매대,서울 영등포구 여의나루로 71,894,1,291 611 708 708 877 893 1008 1039 1046 1096 1114,11,37.523926,126.926698
버스충전소,서울 서초구 동작대로 126 가판,,0,350 399 650 819 959 975,6,37.487727,126.982596
가판점,서울 서초구 효령로 283 가판,819 849 897 1084,4,299 538 702 937 1082 1130 1130,7,37.485101,127.014967
버스충전소,서울 서초구 신반포로 177 반포쇼핑3동정문앞,,0,268 333 419 526 550 557 619 663 807 980 987 1012 1123,13,37.506115,127.003673
가로판매점,서울 서초구 신반포로 189 반포쇼핑4동 정문 앞 가로판매점,330,1,271 345 421 660 868 1071 1080,7,37.506564,127.004884
